abs_action_x,abs_action_y,curr_vel_x,curr_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,action_x,action_y,time_action,time_step
1.0,0.6200000047683716,0.0,0.0,0.55,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.6200000047683716,0.11692452430725098,0.1
1.3980703695242138,-0.4293712006831525,0.51,0.21,0.55,-0.0,-0.0,0.4,0.05,0.01,0.39,0.8899999856948853,-0.6399999856948853,0.07942724227905273,0.1
1.3069064812197757,0.6542392823365726,0.34,-0.05,0.55,-0.0,-0.0,0.4,0.09,0.01,-0.14,0.9700000286102295,0.699999988079071,0.025648832321166992,0.1
1.3853958390307777,-0.229924865878838,0.45,0.15,0.55,-0.0,-0.0,0.4,0.13,0.02,0.32,0.9399999976158142,-0.3799999952316284,0.08727478981018066,0.1
1.3697244198248704,0.5042531963545623,0.45,-0.02,0.55,-0.0,-0.0,0.4,0.18,0.03,-0.04,0.9200000166893005,0.5199999809265137,0.00494384765625,0.1
1.3871365991557127,-0.3462741224824928,0.5,0.18,0.55,-0.0,-0.0,0.4,0.23,0.03,0.35,0.8899999856948853,-0.5299999713897705,0.08030295372009277,0.1
1.3478387371405185,0.5884749456203073,0.4,-0.04,0.55,-0.0,-0.01,0.4,0.27,0.04,-0.1,0.949999988079071,0.6299999952316284,0.03822588920593262,0.1
1.3917861536386589,-0.2661294639987718,0.46,0.16,0.55,-0.0,-0.01,0.4,0.32,0.04,0.34,0.9300000071525574,-0.4300000071525574,0.05125117301940918,0.1
1.3593497960847247,0.516361943196033,0.43,-0.02,0.55,-0.0,-0.01,0.4,0.36,0.05,-0.06,0.9300000071525574,0.5400000214576721,0.1212911605834961,0.1
1.3886518494320532,-0.35218167439562664,0.49,0.18,0.55,-0.0,-0.01,0.4,0.41,0.06,0.35,0.8999999761581421,-0.5299999713897705,0.02724003791809082,0.1
1.3475824272617498,0.5960886653600153,0.4,-0.04,0.55,-0.0,-0.01,0.4,0.45,0.06,-0.11,0.949999988079071,0.6399999856948853,0.001743316650390625,0.1
1.3922756864946026,-0.3175155398956911,0.46,0.16,0.55,-0.01,-0.01,0.4,0.5,0.07,0.34,0.9300000071525574,-0.47999998927116394,0.027711868286132812,0.1
1.3482282301696298,0.5519249144044979,0.41,-0.04,0.55,-0.01,-0.01,0.4,0.54,0.07,-0.09,0.9399999976158142,0.5899999737739563,0.06575846672058105,0.1
1.3903684094132727,-0.3504311892039,0.47,0.17,0.55,-0.01,-0.01,0.4,0.59,0.08,0.35,0.9200000166893005,-0.5199999809265137,0.10866165161132812,0.1
1.3475383171575306,0.5556911430897273,0.4,-0.04,0.55,-0.01,-0.01,0.4,0.63,0.08,-0.11,0.949999988079071,0.6000000238418579,0.050592660903930664,0.1
1.392437939779077,-0.31797789674020516,0.46,0.16,0.55,-0.01,-0.01,0.4,0.68,0.09,0.34,0.9300000071525574,-0.47999998927116394,0.12790346145629883,0.1
1.348189951002507,0.5515167052775102,0.41,-0.04,0.55,-0.01,-0.01,0.4,0.72,0.1,-0.09,0.9399999976158142,0.5899999737739563,0.056891679763793945,0.1
1.3903684094132727,-0.35043118920389993,0.47,0.17,0.55,-0.01,-0.01,0.4,0.77,0.1,0.35,0.9200000166893005,-0.5199999809265137,0.08472371101379395,0.1
1.3475383171575306,0.5556911430897273,0.4,-0.04,0.55,-0.01,-0.01,0.4,0.8,0.11,-0.11,0.949999988079071,0.6000000238418579,0.05676150321960449,0.1
1.392437939779077,-0.3179778967402051,0.46,0.16,0.55,-0.01,-0.02,0.4,0.85,0.11,0.34,0.9300000071525574,-0.47999998927116394,0.16614723205566406,0.1
1.348189951002507,0.5515167052775103,0.41,-0.04,0.55,-0.01,-0.02,0.4,0.89,0.12,-0.09,0.9399999976158142,0.5899999737739563,0.043853044509887695,0.1
1.3903684094132727,-0.35043118920389993,0.47,0.17,0.55,-0.01,-0.02,0.4,0.94,0.12,0.35,0.9200000166893005,-0.5199999809265137,0.08951330184936523,0.1
1.3475383171575306,0.5556911430897274,0.4,-0.04,0.55,-0.01,-0.02,0.4,0.98,0.13,-0.11,0.949999988079071,0.6000000238418579,0.03531050682067871,0.1
1.392437939779077,-0.31797789674020505,0.46,0.16,0.55,-0.01,-0.02,0.4,1.03,0.13,0.34,0.9300000071525574,-0.47999998927116394,0.026497840881347656,0.1
1.348189951002507,0.5515167052775103,0.41,-0.04,0.55,-0.01,-0.02,0.4,1.07,0.14,-0.09,0.9399999976158142,0.5899999737739563,0.02124166488647461,0.1
1.3903684094132727,-0.35043118920389993,0.47,0.17,0.55,-0.01,-0.02,0.4,1.12,0.14,0.35,0.9200000166893005,-0.5199999809265137,0.07211756706237793,0.1
1.3475383171575306,0.5556911430897274,0.4,-0.04,0.55,-0.01,-0.02,0.4,1.16,0.15,-0.11,0.949999988079071,0.6000000238418579,0.0018925666809082031,0.1
1.392437939779077,-0.31797789674020505,0.46,0.16,0.55,-0.01,-0.02,0.4,1.21,0.15,0.34,0.9300000071525574,-0.47999998927116394,0.005271196365356445,0.1
1.348189951002507,0.5515167052775103,0.41,-0.04,0.55,-0.01,-0.02,0.4,1.25,0.16,-0.09,0.9399999976158142,0.5899999737739563,0.0022406578063964844,0.1
1.3903684094132727,-0.3504311892038999,0.47,0.17,0.55,-0.01,-0.02,0.4,1.3,0.17,0.35,0.9200000166893005,-0.5199999809265137,0.008516311645507812,0.1
1.3475383171575306,0.5556911430897274,0.4,-0.04,0.55,-0.01,-0.03,0.4,1.34,0.17,-0.11,0.949999988079071,0.6000000238418579,0.03364896774291992,0.1
1.392437939779077,-0.31797789674020505,0.46,0.16,0.55,-0.01,-0.03,0.4,1.38,0.18,0.34,0.9300000071525574,-0.47999998927116394,0.02716970443725586,0.1
1.348189951002507,0.511516743424483,0.41,-0.04,0.55,-0.02,-0.03,0.4,1.42,0.18,-0.09,0.9399999976158142,0.550000011920929,0.06871318817138672,0.1
1.393344285223832,-0.3589248324848334,0.47,0.16,0.55,-0.02,-0.03,0.4,1.47,0.19,0.33,0.9200000166893005,-0.5199999809265137,0.05101442337036133,0.1
1.3468010411798392,0.538883333086013,0.41,-0.05,0.55,-0.02,-0.03,0.4,1.51,0.19,-0.12,0.9399999976158142,0.5899999737739563,0.11139917373657227,0.1
1.3948723462949257,-0.3167317815965466,0.45,0.15,0.55,-0.02,-0.03,0.4,1.56,0.19,0.33,0.9399999976158142,-0.4699999988079071,0.030017375946044922,0.1
1.357943468109731,0.49848790911078655,0.42,-0.04,0.55,-0.02,-0.03,0.4,1.6,0.2,-0.1,0.9399999976158142,0.5400000214576721,0.11547970771789551,0.1
1.3947747716757803,-0.3631913968900266,0.47,0.16,0.55,-0.02,-0.03,0.4,1.65,0.21,0.32,0.9200000166893005,-0.5199999809265137,0.05734419822692871,0.1
1.346433261032314,0.5360370013890505,0.41,-0.05,0.55,-0.02,-0.03,0.4,1.69,0.21,-0.13,0.9399999976158142,0.5899999737739563,0.002261638641357422,0.1
1.3861406441145614,-0.3221537153183317,0.45,0.15,0.55,-0.02,-0.03,0.4,1.74,0.21,0.32,0.9399999976158142,-0.4699999988079071,0.04275155067443848,0.1
1.357686873970183,0.49598101054954147,0.42,-0.04,0.55,-0.02,-0.03,0.4,1.78,0.22,-0.1,0.9399999976158142,0.5400000214576721,0.02217721939086914,0.1
1.3860418194576931,-0.3286558844226872,0.47,0.15,0.55,-0.02,-0.04,0.4,1.83,0.22,0.31,0.9200000166893005,-0.47999998927116394,0.02804279327392578,0.1
1.3573685101235555,0.5330582666071597,0.42,-0.05,0.55,-0.02,-0.04,0.4,1.87,0.23,-0.11,0.9399999976158142,0.5799999833106995,0.08247876167297363,0.1
1.393719304758562,-0.36168253707463227,0.46,0.16,0.55,-0.02,-0.04,0.4,1.92,0.23,0.33,0.9300000071525574,-0.5199999809265137,0.13989901542663574,0.1
1.3468289866462433,0.5497332764219662,0.4,-0.05,0.55,-0.02,-0.04,0.4,1.96,0.24,-0.13,0.949999988079071,0.6000000238418579,0.058635711669921875,0.1
1.39410032250944,-0.35445933683372,0.45,0.16,0.55,-0.02,-0.04,0.4,2.01,0.24,0.33,0.9399999976158142,-0.5099999904632568,0.07387900352478027,0.1
1.3470022527933379,0.5405109418536417,0.41,-0.05,0.55,-0.02,-0.04,0.4,2.05,0.25,-0.12,0.9399999976158142,0.5899999737739563,0.03620624542236328,0.1
1.3944104954089644,-0.3153678563038941,0.45,0.15,0.55,-0.02,-0.04,0.4,2.09,0.25,0.33,0.9399999976158142,-0.4699999988079071,0.03823733329772949,0.1
1.3580661235157607,0.499741924445889,0.42,-0.04,0.55,-0.02,-0.04,0.4,2.14,0.26,-0.1,0.9399999976158142,0.5400000214576721,0.03177475929260254,0.1
1.394460205167592,-0.36224216163015005,0.47,0.16,0.55,-0.02,-0.04,0.4,2.18,0.26,0.32,0.9200000166893005,-0.5199999809265137,0.027356624603271484,0.1
1.3464870207790902,0.4964434997131848,0.41,-0.05,0.55,-0.03,-0.05,0.4,2.22,0.26,-0.13,0.9399999976158142,0.550000011920929,0.015418291091918945,0.1
1.3882769056008624,-0.33723345135487937,0.46,0.14,0.55,-0.03,-0.05,0.4,2.27,0.27,0.3,0.9300000071525574,-0.47999998927116394,0.07763528823852539,0.1
1.3567751728699342,0.4880533825683509,0.42,-0.05,0.55,-0.03,-0.05,0.4,2.31,0.27,-0.12,0.9399999976158142,0.5400000214576721,0.09721779823303223,0.1
1.387969857426297,-0.3847270277265062,0.47,0.15,0.55,-0.03,-0.05,0.4,2.36,0.28,0.3,0.9200000166893005,-0.5299999713897705,0.009721517562866211,0.1
1.3450847252332525,0.5267041330645876,0.41,-0.06,0.55,-0.03,-0.05,0.4,2.4,0.28,-0.15,0.9399999976158142,0.5899999737739563,0.007456302642822266,0.1
1.3789075112497615,-0.33230397680412405,0.44,0.14,0.55,-0.03,-0.05,0.4,2.45,0.28,0.3,0.9399999976158142,-0.4699999988079071,0.0027735233306884766,0.1
1.35690772056972,0.4885237723234369,0.43,-0.05,0.55,-0.03,-0.05,0.4,2.49,0.29,-0.12,0.9300000071525574,0.5400000214576721,0.02886962890625,0.1
1.3876783757932984,-0.3837913792147823,0.47,0.15,0.55,-0.03,-0.05,0.4,2.54,0.29,0.3,0.9200000166893005,-0.5299999713897705,0.0028624534606933594,0.1
1.3452105066610915,0.5275144285713489,0.41,-0.06,0.55,-0.03,-0.05,0.4,2.58,0.29,-0.15,0.9399999976158142,0.5899999737739563,0.001953601837158203,0.1
1.378631241574614,-0.33142643775401825,0.44,0.14,0.55,-0.03,-0.06,0.4,2.63,0.3,0.31,0.9399999976158142,-0.4699999988079071,0.009111404418945312,0.1
1.3570793489025457,0.49055495365269125,0.42,-0.05,0.55,-0.03,-0.06,0.4,2.67,0.3,-0.12,0.9399999976158142,0.5400000214576721,0.0250856876373291,0.1
1.3873850234474867,-0.3828563155372322,0.47,0.15,0.55,-0.03,-0.06,0.4,2.72,0.31,0.31,0.9200000166893005,-0.5299999713897705,0.04838705062866211,0.1
