robot_id,action_x,action_y,a_inc_x,a_inc_y,cur_vel_x,cur_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,time_action,time_step
0.0,-0.949999988079071,0.03999999910593033,-0.949999988079071,0.03999999910593033,0.0,0.0,-1.5,0.0,3.14,0.55,9.0,5.0,3.14,0.0017349720001220703,0.1
1.0,-0.800000011920929,-0.5600000023841858,-0.800000011920929,-0.5600000023841858,0.0,0.0,-1.21,-0.88,-2.51,0.55,8.24,7.35,3.77,0.0011639595031738281,0.1
2.0,-0.20999999344348907,-0.7599999904632568,-0.20999999344348907,-0.7599999904632568,0.0,0.0,-0.46,-1.43,-1.88,0.55,6.24,8.8,4.4,0.0011823177337646484,0.1
3.0,0.6100000143051147,-0.75,0.6100000143051147,-0.75,0.0,0.0,0.46,-1.43,-1.26,0.55,3.76,8.8,5.03,0.001154184341430664,0.1
4.0,0.8299999833106995,-0.38999998569488525,0.8299999833106995,-0.38999998569488525,0.0,0.0,1.21,-0.88,-0.63,0.55,1.76,7.35,5.65,0.003392934799194336,0.1
5.0,0.8999999761581421,-0.05999999865889549,0.8999999761581421,-0.05999999865889549,0.0,0.0,1.5,-0.0,-0.0,0.55,1.0,5.0,6.28,0.015930652618408203,0.1
6.0,0.8899999856948853,0.6100000143051147,0.8899999856948853,0.6100000143051147,0.0,0.0,1.21,0.88,0.63,0.55,1.76,2.65,6.91,0.020716190338134766,0.1
7.0,0.6000000238418579,0.8500000238418579,0.6000000238418579,0.8500000238418579,0.0,0.0,0.46,1.43,1.26,0.55,3.76,1.2,7.54,0.024790287017822266,0.1
8.0,-0.09000000357627869,0.8799999952316284,-0.09000000357627869,0.8799999952316284,0.0,0.0,-0.46,1.43,1.88,0.55,6.24,1.2,8.17,0.016410350799560547,0.1
9.0,-0.550000011920929,0.6299999952316284,-0.550000011920929,0.6299999952316284,0.0,0.0,-1.21,0.88,2.51,0.55,8.24,2.65,8.8,0.0015616416931152344,0.1
0.0,-1.4599999904632568,0.15999999642372142,-0.5099999904632568,0.1599999964237213,-0.95,0.0,-1.5,0.0,3.14,0.55,8.9,5.0,3.14,0.014276266098022461,0.1
1.0,-0.7728366549344832,-0.27602953532569485,0.019999999552965164,0.30000001192092896,-0.79,-0.58,-1.21,-0.88,-2.51,0.55,8.16,7.29,-2.51,0.014087915420532227,0.1
2.0,-0.3241234237680691,-0.581334646085032,-0.07999999821186066,0.17000000178813934,-0.24,-0.75,-0.46,-1.43,-1.88,0.55,6.21,8.73,-1.88,0.00148773193359375,0.1
3.0,0.24002839999160297,-0.620617211059644,-0.1899999976158142,0.17000000178813934,0.43,-0.79,0.46,-1.43,-1.26,0.55,3.8,8.72,-1.07,0.032674551010131836,0.1
4.0,0.7950122248568502,-0.04755442725669745,0.019999999552965164,0.4099999964237213,0.78,-0.46,1.21,-0.88,-0.63,0.55,1.84,7.3,-0.53,0.002279043197631836,0.1
