robot_id,action_x,action_y,action_linear_x,action_angular_z,cur_vel_x_init,cur_vel_y_init,cur_vel_linear_x_init,cur_vel_angular_z_init,time_stamp_init,cur_vel_x_final,cur_vel_y_final,cur_vel_linear_x_final,cur_vel_angular_z_final,time_stamp_final
0.0,1.0,0.6299999952316284,1.0,2.8109337024324543,0.0,0.0,0.0,0.0,0.5617828369140625,0.4618821671175714,0.1914807136470298,0.5,3.93,0.5650022029876709
0.0,1.3418821623491999,-0.34851930781064233,1.1061134307658214,-3.2355486518595633,0.4618821671175714,0.1914807136470298,0.5,3.93,1.1002719402313232,0.3280773099451541,-0.03557075623530246,0.33,-5.01,1.1039619445800781
0.0,1.288077288487482,0.6544292413805117,1.2100314811818824,2.890400819311635,0.3280773099451541,-0.03557075623530246,0.33,-5.01,1.4238851070404053,0.4149585797225494,0.14631943519110704,0.44,4.47,1.4317834377288818
0.0,1.3449585868751068,-0.19368056838517164,1.2040065309584784,-2.4101081643195688,0.4149585797225494,0.14631943519110704,0.44,4.47,2.039729118347168,0.4099538758648372,-0.006149769377594522,0.41,-3.54,2.040393829345703
0.0,1.319953902090881,0.523850202012176,1.3119479516933936,1.964026279057876,0.4099538758648372,-0.006149769377594522,0.41,-3.54,2.2024073600769043,0.4541312320098605,0.1840239770062756,0.49,4.0,2.2036852836608887
0.0,1.3441312177047458,-0.3159760229937244,1.127071023447426,-3.079430599750459,0.4541312320098605,0.1840239770062756,0.49,4.0,2.5838329792022705,0.3386543186137618,-0.030220067575184917,0.34,-4.74,2.5854415893554688
0.0,1.2886543066928329,0.6197799085829572,1.228466339537153,2.686464082070793,0.3386543186137618,-0.030220067575184917,0.34,-4.74,2.954686164855957,0.42302548316713207,0.15345826986909017,0.45,4.37,2.9556031227111816
0.0,1.3430254998564326,-0.19654172417044535,1.195495684520582,-2.466555181954199,0.42302548316713207,0.15345826986909017,0.45,4.37,3.323788642883301,0.399966200476014,-0.005199853534570954,0.4,-3.61,3.324463129043579
0.0,1.3199662171653146,0.5348001679231011,1.31290247523211,1.989742255100313,0.399966200476014,-0.005199853534570954,0.4,-3.61,3.8010268211364746,0.4539469809979278,0.18447801615061613,0.49,3.99,3.8018910884857178
0.0,1.343946966692813,-0.3155219838493839,1.1262730582022122,-3.082982464466145,0.4539469809979278,0.18447801615061613,0.49,3.99,4.235854387283325,0.3386843693491551,-0.029881398202980993,0.34,-4.74,4.238771438598633
0.0,1.288684357428226,0.6201185779551611,1.2291977609551628,2.682485602208163,0.3386843693491551,-0.029881398202980993,0.34,-4.74,4.8043365478515625,0.42287181341011537,0.15388121855262454,0.45,4.37,4.806749582290649
0.0,1.342871830099416,-0.19611877548691098,1.1948525551522797,-2.4700953236546166,0.42287181341011537,0.15388121855262454,0.45,4.37,5.267768144607544,0.39997120034559835,-0.0047998848008293975,0.4,-3.61,5.268674373626709
0.0,1.319971217034899,0.44520010327824167,1.31453390722509,1.6864924128785432,0.39997120034559835,-0.0047998848008293975,0.4,-3.61,5.545843601226807,0.45893375494206373,0.1716968508004087,0.49,3.7,5.547285795211792
0.0,1.3389337501736922,-0.33830313966284814,1.1355026732446323,-3.0274316743486,0.45893375494206373,0.1716968508004087,0.49,3.7,5.98809552192688,0.34756612607227627,-0.04120422317081744,0.35,-4.76,5.988789319992065
0.0,1.2975661141513473,0.6087957529873247,1.2168716329905864,2.7834568313641217,0.34756612607227627,-0.04120422317081744,0.35,-4.76,6.221045017242432,0.4156849868787469,0.14424282194832447,0.44,4.52,6.225627660751343
0.0,1.3356850035680474,-0.20575717209121105,1.1944209273722262,-2.434223617520231,0.4156849868787469,0.14424282194832447,0.44,4.52,6.679476976394653,0.399843210243999,-0.011198536590700123,0.4,-3.62,6.688953638076782
0.0,1.3198432269332996,0.478801472946043,1.305921192653355,1.88003455450508,0.399843210243999,-0.011198536590700123,0.4,-3.62,7.135756254196167,0.457193868553533,0.1762775270902527,0.49,3.96,7.136431932449341
0.0,1.3371938637851615,-0.36372249436741944,1.1168178239506061,-3.167895071764744,0.457193868553533,0.1762775270902527,0.49,3.96,7.375297546386719,0.337131043863028,-0.044075608490696236,0.34,-4.98,7.376490831375122
0.0,1.287131031942099,0.6059243676674458,1.1977215975966269,2.8498986947972615,0.337131043863028,-0.044075608490696236,0.34,-4.98,7.790016174316406,0.4070760709396971,0.138524627659845,0.43,4.58,7.791018009185791
0.0,1.3370760780922546,-0.21147536637969053,1.1976677442564623,-2.424315840675808,0.4070760709396971,0.138524627659845,0.43,4.58,8.299909353256226,0.4097343486922005,-0.014756812046586382,0.41,-3.64,8.301258325576782
0.0,1.3197343749182442,0.47524319749015675,1.3017742195415956,1.9082434934555104,0.4097343486922005,-0.014756812046586382,0.41,-3.64,8.868428945541382,0.4488913938662688,0.16998975414064896,0.48,3.98,8.871753215789795
0.0,1.3388913795611541,-0.330010245859351,1.1352467855191914,-3.018315990983292,0.4488913938662688,0.16998975414064896,0.48,3.98,9.574169397354126,0.347846037943652,-0.038770270658114225,0.35,-4.73,9.576930284500122
0.0,1.297846026022723,0.6112297055000279,1.2221515911325784,2.7557223413466345,0.347846037943652,-0.038770270658114225,0.35,-4.73,9.875909328460693,0.4152503884809563,0.14548922594616712,0.44,4.48,9.884924411773682
0.0,1.3352504051702567,-0.2545107800142974,1.1759878933797003,-2.626748437965689,0.4152503884809563,0.14548922594616712,0.44,4.48,10.352262496948242,0.3891249724067219,-0.02611045479243765,0.39,-4.04,10.354480981826782
