curr_vel_x,curr_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,action_x,action_y,time_action,time_step
0.0,0.0,1.5,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.18000000715255737,0.002294778823852539,0.1
1.0,0.09,1.5,-0.0,-0.0,0.4,0.1,0.0,0.09,0.9900000095367432,-0.6000000238418579,0.018293380737304688,0.1
1.36,-0.16,1.5,-0.0,-0.0,0.4,0.24,0.0,-0.12,0.8199999928474426,0.03999999910593033,0.0016741752624511719,0.1
1.49,-0.18,1.5,0.0,0.0,0.4,0.39,-0.02,-0.12,0.6000000238418579,0.03999999910593033,0.001466512680053711,0.1
1.49,-0.18,1.5,0.01,0.0,0.4,0.53,-0.03,-0.12,0.6000000238418579,0.07000000029802322,0.023537635803222656,0.1
1.49,-0.18,1.5,0.01,0.01,0.4,0.68,-0.05,-0.12,0.6000000238418579,0.07000000029802322,0.0016131401062011719,0.1
1.49,-0.18,1.5,0.01,0.01,0.4,0.83,-0.07,-0.12,0.6000000238418579,0.07000000029802322,0.001856088638305664,0.1
1.49,-0.18,1.5,0.02,0.01,0.4,0.98,-0.09,-0.12,0.6000000238418579,0.10999999940395355,0.0022935867309570312,0.1
1.49,-0.18,1.5,0.02,0.02,0.4,1.13,-0.11,-0.12,0.6000000238418579,0.10999999940395355,0.0015323162078857422,0.1
1.49,-0.18,1.5,0.03,0.02,0.4,1.28,-0.12,-0.12,0.5899999737739563,0.14000000059604645,0.001955747604370117,0.1
1.48,-0.18,1.5,0.03,0.02,0.4,1.43,-0.14,-0.12,0.6200000047683716,0.14000000059604645,0.0019099712371826172,0.1
1.48,-0.18,1.5,0.04,0.02,0.4,1.57,-0.16,-0.12,0.6100000143051147,0.18000000715255737,0.0022661685943603516,0.1
1.49,-0.09,1.5,0.04,0.03,0.4,1.72,-0.17,-0.06,0.6100000143051147,-0.11999999731779099,0.002019643783569336,0.1
1.5,-0.09,1.5,0.04,0.03,0.4,1.87,-0.18,-0.06,0.5899999737739563,-0.12999999523162842,0.0015511512756347656,0.1
1.49,-0.09,1.5,0.05,0.03,0.4,2.02,-0.19,-0.06,0.6100000143051147,-0.09000000357627869,0.0017838478088378906,0.1
1.5,-0.09,1.5,0.05,0.03,0.4,2.17,-0.2,-0.06,0.5899999737739563,-0.09000000357627869,0.003580808639526367,0.1
1.5,-0.09,1.5,0.05,0.04,0.4,2.32,-0.21,-0.06,0.5899999737739563,-0.09000000357627869,0.0031585693359375,0.1
1.5,-0.09,1.5,0.06,0.04,0.4,2.47,-0.22,-0.06,0.5799999833106995,-0.05999999865889549,0.0038466453552246094,0.1
1.5,-0.09,1.5,0.06,0.04,0.4,2.62,-0.23,-0.06,0.5799999833106995,-0.05999999865889549,0.0018291473388671875,0.1
1.5,-0.09,1.5,0.07,0.04,0.4,2.77,-0.23,-0.06,0.5799999833106995,-0.029999999329447746,0.032479047775268555,0.1
1.5,-0.09,1.5,0.07,0.05,0.4,2.92,-0.24,-0.06,0.5799999833106995,-0.029999999329447746,0.03347587585449219,0.1
