robot_id,cmd_vel_omni_x,cmd_vel_omni_y,cmd_vel_linear_x,cmd_vel_angular_z,cur_vel_x_init,cur_vel_y_init,cur_vel_linear_x_init,cur_vel_angular_z_init,time_stamp_init,cur_vel_x_final,cur_vel_y_final,cur_vel_linear_x_final,cur_vel_angular_z_final,time_stamp_final
0.0,1.0,0.18000000715255737,1.0,0.8904647257964244,0.0,0.0,0.0,0.0,5.8941638469696045,0.9960421135698875,0.08888255169172032,1.0,0.89,5.901130437850952
0.0,1.9860421231066305,-0.5111174721501376,1.932752168799029,-1.7044437943358726,0.9960421135698875,0.08888255169172032,1.0,0.89,6.440257787704468,1.439572521988106,-0.17358270056893305,1.45,-2.09,6.445556640625
0.0,2.139572510067177,-0.1435827012394853,2.141374667124111,0.0,1.439572521988106,-0.17358270056893305,1.45,-2.09,7.010159730911255,1.4991410401393381,-0.1807654330062682,1.51,0.0,7.014723777770996
0.0,2.0791410234500374,-0.14076543390033788,2.081040504041435,0.0,1.4991410401393381,-0.1807654330062682,1.51,0.0,7.530340194702148,1.4991410401393381,-0.1807654330062682,1.51,0.0,7.5344061851501465
0.0,2.0791410234500374,-0.11076543270824499,2.0774491376800595,0.0,1.4991410401393381,-0.1807654330062682,1.51,0.0,8.113741159439087,1.4892129537807994,-0.17956831093337902,1.5,0.0,8.11804986000061
0.0,2.0892129776226573,-0.1095683106353558,2.087305350636821,0.0,1.4892129537807994,-0.17956831093337902,1.5,0.0,8.643808364868164,1.4892129537807994,-0.17956831093337902,1.5,0.0,8.649207592010498
0.0,2.0892129776226573,-0.1095683106353558,2.087305350636821,0.0,1.4892129537807994,-0.17956831093337902,1.5,0.0,9.138529300689697,1.4892129537807994,-0.17956831093337902,1.5,0.0,9.142847299575806
0.0,2.0892129776226573,-0.06956831152942547,2.0825168624522954,0.0,1.4892129537807994,-0.17956831093337902,1.5,0.0,10.128209352493286,1.4892129537807994,-0.17956831093337902,1.5,0.0,10.138638496398926
0.0,2.0892129776226573,-0.06956831152942547,2.0825168624522954,0.0,1.4892129537807994,-0.17956831093337902,1.5,0.0,10.827399969100952,1.4892129537807994,-0.17956831093337902,1.5,0.0,10.83359694480896
0.0,2.0792129275547557,-0.039568310337332574,2.068997360024536,0.5048593479731963,1.4892129537807994,-0.17956831093337902,1.5,0.0,11.417044878005981,1.4792848674222607,-0.17837118886048983,1.49,0.0,11.422047138214111
0.0,2.0992848721906325,-0.038371188264443384,2.0887816498716747,0.5086190815652281,1.4792848674222607,-0.17837118886048983,1.49,0.0,11.901746988296509,1.4792848674222607,-0.17837118886048983,1.49,0.0,11.907626390457153
0.0,2.0892848817273757,0.001628818292067541,2.0740650839048462,0.6038980274454734,1.4792848674222607,-0.17837118886048983,1.49,0.0,12.562110185623169,1.4874074071988772,-0.08785900642457432,1.49,0.61,12.567343711853027
0.0,2.097407421503992,-0.20785900374236532,2.1060145102041217,0.0,1.4874074071988772,-0.08785900642457432,1.49,0.61,13.191977739334106,1.5073726072955065,-0.08903832194705183,1.51,0.0,13.200029134750366
0.0,2.077372600142949,-0.21903831717868025,2.086673746228754,0.0,1.5073726072955065,-0.08903832194705183,1.51,0.0,13.79913330078125,1.5073726072955065,-0.08903832194705183,1.51,0.0,13.82424807548523
0.0,2.077372600142949,-0.18903832343716795,2.084904773314074,0.0,1.5073726072955065,-0.08903832194705183,1.51,0.0,14.399844646453857,1.5073726072955065,-0.08903832194705183,1.51,0.0,14.405052185058594
0.0,2.077372600142949,-0.18903832343716795,2.084904773314074,0.0,1.5073726072955065,-0.08903832194705183,1.51,0.0,14.89374589920044,1.5073726072955065,-0.08903832194705183,1.51,0.0,14.89995813369751
0.0,2.0673726096796923,-0.15903832224507505,2.0731532094319003,0.0,1.5073726072955065,-0.08903832194705183,1.51,0.0,15.343395233154297,1.5073726072955065,-0.08903832194705183,1.51,0.0,15.348315954208374
0.0,2.0673726096796923,-0.15903832224507505,2.0731532094319003,0.0,1.5073726072955065,-0.08903832194705183,1.51,0.0,15.857532978057861,1.5073726072955065,-0.08903832194705183,1.51,0.0,15.862171649932861
0.0,2.0673726096796923,-0.15903832224507505,2.0731532094319003,0.0,1.5073726072955065,-0.08903832194705183,1.51,0.0,16.322909355163574,1.5073726072955065,-0.08903832194705183,1.51,0.0,16.329307794570923
0.0,2.0673726096796923,-0.11903832127649958,2.0707945783298323,0.0,1.5073726072955065,-0.08903832194705183,1.51,0.0,16.861963272094727,1.497390007247192,-0.08844866418581308,1.5,0.0,16.873323440551758
0.0,2.0773899905578914,-0.11844866351526083,2.0807597593861633,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,17.34104037284851,1.497390007247192,-0.08844866418581308,1.5,0.0,17.34561777114868
0.0,2.0773899905578914,-0.08844866418581308,2.0789907861419863,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,17.861159801483154,1.497390007247192,-0.08844866418581308,1.5,0.0,17.86584186553955
0.0,2.0773899905578914,-0.08844866418581308,2.0789907861419863,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,18.340713500976562,1.497390007247192,-0.08844866418581308,1.5,0.0,18.34575867652893
0.0,2.0773899905578914,-0.048448665079882755,2.076632155149751,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,18.810052633285522,1.497390007247192,-0.08844866418581308,1.5,0.0,18.81472396850586
0.0,2.0773899905578914,-0.048448665079882755,2.076632155149751,0.0,1.497390007247192,-0.08844866418581308,1.5,0.0,19.263389587402344,1.497390007247192,-0.08844866418581308,1.5,0.0,19.270365715026855
