action_x,action_y,a_inc_x,a_inc_y,cur_vel_x,cur_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,time_action,time_step
2.5268945452688247,1.6763823235628714,1.0,1.0,1.53,0.68,1.42,0.48,0.32,0.4,3.89,-1.38,0.42,1.0927670001983643,0.1
2.633045708527982,1.1196257025713285,1.0,0.0,1.63,1.12,1.43,0.47,0.32,0.4,4.06,-1.29,0.6,1.383549451828003,0.1
2.5423209469430943,1.0574242746506992,1.0,0.0,1.54,1.06,1.43,0.45,0.3,0.4,4.22,-1.18,0.6,1.8122377395629883,0.1
2.517577830147216,1.0404602488541639,1.0,0.0,1.52,1.04,1.44,0.43,0.29,0.4,4.37,-1.08,0.6,1.3659169673919678,0.1
2.5093301245485895,1.034805573588652,1.0,0.0,1.51,1.03,1.44,0.4,0.27,0.4,4.52,-0.97,0.6,1.1685607433319092,0.1
2.5010824189499634,1.0291508983231406,1.0,0.0,1.5,1.03,1.45,0.38,0.26,0.4,4.67,-0.87,0.6,1.4058880805969238,0.1
2.5010824189499634,1.0291508983231406,1.0,0.0,1.5,1.03,1.46,0.35,0.24,0.4,4.82,-0.77,0.6,1.3905253410339355,0.1
2.5010824189499634,1.0291508983231406,1.0,0.0,1.5,1.03,1.47,0.32,0.22,0.4,4.97,-0.66,0.6,2.1938936710357666,0.1
2.5010824189499634,2.0291508983231408,1.0,1.0,1.5,1.03,1.47,0.29,0.19,0.4,5.12,-0.56,0.6,18.026838779449463,0.1
2.6079058356347193,2.3351924294766704,1.0,1.0,1.61,1.34,1.48,0.24,0.16,0.4,5.29,-0.44,0.69,2.3669981956481934,0.1
2.6232924943489273,2.347969390524294,1.0,1.0,1.62,1.35,1.49,0.18,0.12,0.4,5.45,-0.3,0.69,1.4144868850708008,0.1
2.6232924943489273,2.347969390524294,1.0,1.0,1.62,1.35,1.5,0.1,0.07,0.4,5.61,-0.17,0.69,1.192995309829712,0.1
2.6232924943489273,2.347969390524294,1.0,1.0,1.62,1.35,1.5,0.02,0.01,0.4,5.77,-0.03,0.69,1.4325146675109863,0.1
1.6232924943489273,2.347969390524294,0.0,1.0,1.62,1.35,1.5,-0.08,-0.05,0.4,5.94,0.1,0.69,2.831261157989502,0.1
1.6232924943489273,2.347969390524294,0.0,1.0,1.62,1.35,1.49,-0.19,-0.12,0.4,6.1,0.24,0.69,5.377119541168213,0.1
1.6232924943489273,2.347969390524294,0.0,1.0,1.62,1.35,1.47,-0.32,-0.21,0.4,6.26,0.37,0.69,10.355535507202148,0.1
1.6232924943489273,2.347969390524294,0.0,1.0,1.62,1.35,1.43,-0.46,-0.31,0.4,6.42,0.51,0.69,1.818633794784546,0.1
0.6232924943489273,2.347969390524294,-1.0,1.0,1.62,1.35,1.37,-0.62,-0.43,0.4,6.59,0.64,0.69,3.6658742427825928,0.1
-0.144901466021348,2.1586226724812354,-1.0,1.0,0.86,1.16,1.3,-0.74,-0.52,0.4,6.69,0.75,0.94,2.2286674976348877,0.1
-0.7014806467275969,2.079484226712844,-1.0,1.0,0.3,1.08,1.25,-0.83,-0.59,0.4,6.73,0.85,1.3,2.093803644180298,0.1
-0.10597129725666794,2.2555357757378873,0.0,1.0,-0.11,1.26,1.19,-0.92,-0.66,0.4,6.75,0.97,1.66,2.346311569213867,0.1
-0.12615630625793803,2.494685447307009,0.0,1.0,-0.13,1.49,1.12,-0.99,-0.72,0.4,6.73,1.12,1.66,2.0895371437072754,0.1
-0.12699734829965761,2.5046500169557224,0.0,1.0,-0.13,1.5,1.06,-1.06,-0.78,0.4,6.72,1.27,1.66,7.351606130599976,0.1
-0.12699734829965761,2.5046500169557224,0.0,1.0,-0.13,1.5,1.01,-1.11,-0.83,0.4,6.71,1.42,1.66,2.4227135181427,0.1
-0.12699734829965761,2.5046500169557224,0.0,1.0,-0.13,1.5,0.96,-1.15,-0.88,0.4,6.69,1.57,1.66,1.6794986724853516,0.1
0.8730026517003424,1.5046500169557224,1.0,0.0,-0.13,1.5,0.91,-1.19,-0.92,0.4,6.68,1.72,1.66,1.4195101261138916,0.1
1.3123748671145765,1.3852154859064891,1.0,0.0,0.31,1.39,0.86,-1.23,-0.96,0.4,6.69,1.87,1.35,1.3707590103149414,0.1
1.771531720193484,1.4471830584743877,1.0,0.0,0.77,1.45,0.79,-1.27,-1.02,0.4,6.75,2.02,1.08,1.5106890201568604,0.1
2.1932131659479746,1.5800766882048514,1.0,0.0,1.19,1.58,0.7,-1.33,-1.09,0.4,6.86,2.19,0.92,1.4640982151031494,0.1
