robot_id,action_x,action_y,action_linear_x,action_angular_z,cur_vel_x_init,cur_vel_y_init,cur_vel_linear_x_init,cur_vel_angular_z_init,time_stamp_init,cur_vel_x_final,cur_vel_y_final,cur_vel_linear_x_final,cur_vel_angular_z_final,time_stamp_final
1.0,-1.0,0.1899999976158142,0.0,14.769153546886576,0.0,0.0,0.0,0.0,2.894141435623169,1.0,0.0,1.0,0.0,2.894772529602051
1.0,-1.0,0.07999999821186066,0.0,7.923813348271619,0.0,0.0,0.0,14.77,4.5931360721588135,1.9907910757140306,-0.19170522386563407,2.0,-0.96,4.593698263168335
1.0,-1.0,0.03999999910593033,0.6734826685260623,4.163069836795723,-0.0,0.0,0.0,7.92,6.244622468948364,2.013617642027209,-0.3270229223109336,2.04,-0.65,6.2452006340026855
1.0,-1.5913651947987986,-0.004602121009816051,1.4263166691787306,2.2974228910302052,-0.6013651852620555,0.2953978909111129,0.67,4.16,9.800068616867065,1.9840056178797498,-0.32221376168871396,2.01,0.0,9.800679445266724
1.0,-2.343445669944575,-0.008738232487967679,2.2815783142252317,1.1516071650569693,-1.3934456818655039,0.32126178062505417,1.43,2.3,12.639111995697021,1.9840056178797498,-0.32221376168871396,2.01,0.0,12.64138650894165
1.0,-2.7378710092271126,0.027154320323152487,2.7238653851566674,0.5083746826648317,-1.9378709973061834,0.2171543179389667,1.95,1.15,15.348958015441895,1.9741349431639303,-0.3206107081479741,2.0,0.0,15.351340532302856
1.0,-2.757622168640696,0.021608762506200446,2.7428761324209874,0.5187840060352378,-1.9776221972509256,0.22160876548643269,1.99,0.0,16.961374759674072,1.9741349431639303,-0.3206107081479741,2.0,0.0,16.961973190307617
1.0,-2.76622647785911,0.04249189947366651,2.763596616393909,0.0,-1.9862265064693398,0.12249189768552717,1.99,0.5,19.091020822525024,1.9741349431639303,-0.3206107081479741,2.0,0.0,19.091536283493042
1.0,-2.766207525116805,0.03310743128354761,2.763000050687118,0.0,-1.9962075441902913,0.1231074348598263,2.0,0.0,21.07152557373047,1.9777531871653355,-0.22043668174184938,1.99,0.5,21.072081804275513
1.0,-2.766207525116805,0.03310743128354761,2.763000050687118,0.0,-1.9962075441902913,0.1231074348598263,2.0,0.0,23.0675106048584,1.9976301036192583,-0.2226521257794559,2.01,0.0,23.068068981170654
1.0,-2.766207525116805,0.013107435455872743,2.761768976595342,0.0,-1.9962075441902913,0.1231074348598263,2.0,0.0,25.083552598953247,1.9976301036192583,-0.2226521257794559,2.01,0.0,25.084169626235962
1.0,-2.766207525116805,-0.006892560371802123,2.760537902503566,0.0,-1.9962075441902913,0.1231074348598263,2.0,0.0,26.794922828674316,1.9976301036192583,-0.2226521257794559,2.01,0.0,26.795551300048828
1.0,-2.766207525116805,-0.006892560371802123,2.760537902503566,0.0,-1.9962075441902913,0.1231074348598263,2.0,0.0,28.71432113647461,1.9976301036192583,-0.2226521257794559,2.01,0.0,28.714842081069946
1.0,-2.766207525116805,-0.016892565736220153,2.7599223649990665,0.0,-1.9962075441902913,0.1231074348598263,2.0,0.0,30.60965847969055,1.987691645392297,-0.22154440376065265,2.0,0.0,30.610137462615967
1.0,-2.766207525116805,-0.016892565736220153,2.7599223649990665,0.0,-1.9962075441902913,0.1231074348598263,2.0,0.0,32.47550582885742,1.987691645392297,-0.22154440376065265,2.0,0.0,32.476003646850586
1.0,-2.766207525116805,-0.03689256156389502,2.7586912909072905,0.0,-1.9962075441902913,0.1231074348598263,2.0,0.0,34.535186767578125,1.987691645392297,-0.22154440376065265,2.0,0.0,34.53588366508484
1.0,-2.76622647785911,-0.05750810946703021,2.757441244100584,0.0,-1.9862265064693398,0.12249189768552717,1.99,0.0,36.39791655540466,1.9777531871653355,-0.22043668174184938,1.99,0.0,36.39847540855408
