robot_id,action_x,action_y,a_inc_x,a_inc_y,cur_vel_x,cur_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,time_action,time_step
0.0,-0.8199999928474426,0.11999999731779099,-0.8199999928474426,0.11999999731779099,0.0,0.0,-1.0,0.0,3.14,0.4,9.0,5.0,3.14,0.43666887283325195,0.1
1.0,-0.5600000023841858,-0.3100000023841858,-0.5600000023841858,-0.3100000023841858,0.0,0.0,-0.81,-0.59,-2.51,0.4,8.24,7.35,3.77,0.37387514114379883,0.1
2.0,-0.12999999523162842,-0.4399999976158142,-0.12999999523162842,-0.4399999976158142,0.0,0.0,-0.31,-0.95,-1.88,0.4,6.24,8.8,4.4,0.42960119247436523,0.1
3.0,0.47999998927116394,-0.4300000071525574,0.47999998927116394,-0.4300000071525574,0.0,0.0,0.31,-0.95,-1.26,0.4,3.76,8.8,5.03,0.31693410873413086,0.1
4.0,0.6600000262260437,-0.12999999523162842,0.6600000262260437,-0.12999999523162842,0.0,0.0,0.81,-0.59,-0.63,0.4,1.76,7.35,5.65,0.4440116882324219,0.1
5.0,0.75,-0.05999999865889549,0.75,-0.05999999865889549,0.0,0.0,1.0,-0.0,-0.0,0.4,1.0,5.0,6.28,0.3659682273864746,0.1
6.0,0.7300000190734863,0.3799999952316284,0.7300000190734863,0.3799999952316284,0.0,0.0,0.81,0.59,0.63,0.4,1.76,2.65,6.91,0.43208742141723633,0.1
7.0,0.4399999976158142,0.6899999976158142,0.4399999976158142,0.6899999976158142,0.0,0.0,0.31,0.95,1.26,0.4,3.76,1.2,7.54,0.4499180316925049,0.1
8.0,0.0,0.7799999713897705,0.0,0.7799999713897705,0.0,0.0,-0.31,0.95,1.88,0.4,6.24,1.2,8.17,0.4462106227874756,0.1
9.0,-0.25,0.550000011920929,-0.25,0.550000011920929,0.0,0.0,-0.81,0.59,2.51,0.4,8.24,2.65,8.8,0.4874405860900879,0.1
0.0,-0.9678160860613622,0.15980684999764147,-0.15000000596046448,0.10000000149011612,-0.82,0.06,-1.0,-0.0,-3.14,0.4,8.92,5.0,3.07,0.48081350326538086,0.1
