action_x,action_y,a_inc_x,a_inc_y,cur_vel_x,cur_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,time_action,time_step
1.0,0.4300000071525574,1.0,0.4300000071525574,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0026433467864990234,0.2
1.8087079046147987,-0.5550623224736724,0.8899999856948853,-0.949999988079071,0.92,0.39,1.0,-0.01,-0.01,0.4,0.19,0.04,0.41,0.005036592483520508,0.2
1.5922831797090042,0.5807223557651238,0.9800000190734863,0.9200000166893005,0.61,-0.34,1.0,-0.0,-0.0,0.4,0.33,0.03,-0.51,0.0017800331115722656,0.2
1.5102451546635223,-0.5237739269072585,1.0,-0.8199999928474426,0.51,0.3,1.0,-0.0,-0.0,0.4,0.44,0.03,0.53,0.0015954971313476562,0.2
1.5216417641695346,0.6118686413070822,0.9900000095367432,0.8899999856948853,0.53,-0.28,1.0,-0.0,-0.0,0.4,0.56,0.04,-0.48,0.010039567947387695,0.2
1.5115147132357034,-0.5363876864834625,1.0,-0.8500000238418579,0.51,0.31,1.0,-0.01,-0.01,0.4,0.67,0.04,0.55,0.019307613372802734,0.2
1.4923922199305495,0.6007379262359025,0.9900000095367432,0.8700000047683716,0.5,-0.27,1.0,-0.01,-0.01,0.4,0.78,0.04,-0.49,0.002414226531982422,0.2
1.5146252088182943,-0.54151842884999,1.0,-0.8500000238418579,0.51,0.31,1.0,-0.01,-0.01,0.4,0.9,0.05,0.54,0.02936410903930664,0.2
1.5001060877390195,0.603971393487003,0.9900000095367432,0.8799999952316284,0.51,-0.28,1.0,-0.01,-0.01,0.4,1.01,0.05,-0.5,0.03459310531616211,0.2
1.504830715920403,-0.5446380283949899,1.0,-0.8500000238418579,0.5,0.31,1.0,-0.01,-0.01,0.4,1.12,0.05,0.54,0.017714738845825195,0.2
1.4907676141201138,0.5977284377625001,0.9900000095367432,0.8700000047683716,0.5,-0.27,1.0,-0.01,-0.01,0.4,1.23,0.05,-0.5,0.11560869216918945,0.2
1.5066537899744468,-0.5376724409481661,1.0,-0.8399999737739563,0.51,0.3,1.0,-0.01,-0.01,0.4,1.34,0.06,0.54,0.02488112449645996,0.2
1.5006571243626543,0.6049921570202857,0.9900000095367432,0.8799999952316284,0.51,-0.28,1.0,-0.01,-0.01,0.4,1.45,0.06,-0.49,0.06644225120544434,0.2
1.504830715920403,-0.5446380283949899,1.0,-0.8500000238418579,0.5,0.31,1.0,-0.01,-0.01,0.4,1.56,0.06,0.54,0.07088732719421387,0.2
1.4907676141201138,0.5977284377625001,0.9900000095367432,0.8700000047683716,0.5,-0.27,1.0,-0.01,-0.01,0.4,1.67,0.06,-0.5,0.06600785255432129,0.2
1.5066537899744468,-0.5376724409481661,1.0,-0.8399999737739563,0.51,0.3,1.0,-0.01,-0.01,0.4,1.79,0.07,0.54,0.045311689376831055,0.2
1.5006571243626543,0.6049921570202857,0.9900000095367432,0.8799999952316284,0.51,-0.28,1.0,-0.01,-0.01,0.4,1.9,0.07,-0.49,0.02434992790222168,0.2
1.504830715920403,-0.5446380283949899,1.0,-0.8500000238418579,0.5,0.31,1.0,-0.01,-0.01,0.4,2.01,0.07,0.54,0.027834177017211914,0.2
1.4907676141201138,0.5977284377625001,0.9900000095367432,0.8700000047683716,0.5,-0.27,1.0,-0.01,-0.01,0.4,2.12,0.07,-0.5,0.1187739372253418,0.2
1.5066537899744468,-0.5376724409481661,1.0,-0.8399999737739563,0.51,0.3,1.0,-0.01,-0.01,0.4,2.23,0.08,0.54,0.11070060729980469,0.2
1.5006571243626543,0.6049921570202857,0.9900000095367432,0.8799999952316284,0.51,-0.28,1.0,-0.01,-0.01,0.4,2.34,0.08,-0.49,0.04331684112548828,0.2
1.504830715920403,-0.5446380283949899,1.0,-0.8500000238418579,0.5,0.31,1.0,-0.01,-0.01,0.4,2.46,0.08,0.54,0.0030357837677001953,0.2
1.4907676141201138,0.5877284472992432,0.9900000095367432,0.8600000143051147,0.5,-0.27,1.0,-0.02,-0.02,0.4,2.56,0.08,-0.5,0.0296628475189209,0.2
1.5170765673356978,-0.5456452579643848,1.0,-0.8500000238418579,0.52,0.3,1.0,-0.02,-0.02,0.4,2.68,0.09,0.53,0.07269644737243652,0.2
1.5077737210520632,0.5871389369918918,0.9900000095367432,0.8700000047683716,0.52,-0.28,1.0,-0.02,-0.02,0.4,2.79,0.09,-0.5,0.0015468597412109375,0.2
1.5176842423088566,-0.5466800191189498,1.0,-0.8500000238418579,0.52,0.3,1.0,-0.02,-0.02,0.4,2.91,0.09,0.53,0.007011890411376953,0.2
1.5077737210520632,0.5871389369918918,0.9900000095367432,0.8700000047683716,0.52,-0.28,1.0,-0.02,-0.02,0.4,3.02,0.09,-0.5,0.012197256088256836,0.2
1.5176842423088566,-0.5466800191189498,1.0,-0.8500000238418579,0.52,0.3,1.0,-0.02,-0.02,0.4,3.13,0.09,0.53,0.01334071159362793,0.2
1.5077737210520632,0.5871389369918918,0.9900000095367432,0.8700000047683716,0.52,-0.28,1.0,-0.02,-0.02,0.4,3.25,0.1,-0.5,0.014459609985351562,0.2
1.5176842423088566,-0.5466800191189498,1.0,-0.8500000238418579,0.52,0.3,1.0,-0.02,-0.02,0.4,3.36,0.1,0.53,0.06473374366760254,0.2
1.5077737210520632,0.5871389369918918,0.9900000095367432,0.8700000047683716,0.52,-0.28,1.0,-0.02,-0.02,0.4,3.47,0.1,-0.5,0.0035996437072753906,0.2
